Tweet,Target 1,Stance 1,seen?
"""It should come as no surprise that the vast majority of heroin users have used marijuana (and many other drugs) not only long before they used heroin but while they are using heroin."" It should come as no surprise that the vast majority of heroin users have used milk (and many other dairy products) not only long before they used heroin but while they are using heroin. Therefore, milk and dairy products are a gateway drug to heroin and should be banned.",gateway drug,AGAINST,1
"""It should come as no surprise that the vast majority of heroin users have used marijuana (and many other drugs) not only long before they used heroin but while they are using heroin."" It should come as no surprise that the vast majority of heroin users have used milk (and many other dairy products) not only long before they used heroin but while they are using heroin. Therefore, milk and dairy products are a gateway drug to heroin and should be banned.",heroin,AGAINST,1
"""It would only invest the United States in the message that Israel is here to stay."" Why is it up to the United States to do any such thing? Israel has been in existence for nearly 70 years. It is up to them to make their own case for their own legitimacy. However, they have made a very poor case for it under Bibi.",israel,AGAINST,1
"""People who are addicted to marijuana are three times more likely to be addicted to heroin."" Since there is NO such thing as addiction to marijuana, the above is total nonsense. I know people who smoke 5-6 joints a day every single day, and then go without it during 4 week vacation overseas without missing a bit. Neither cigarette smokers, nor heroin addicts can do that. ""The legalization of marijuana increases availability of the drug and acceptability of its use. "" There is no problem with availability of marijuana without legalization. Anyone who wants it can get it within 2 hours at most, right here in NYC.",marijuana,AGAINST,1
"""Syria's opposition strongly rejects ethnic discrimination"" The same Saudi-backed opposition who joined hands with Turkish AKP officials to refuse the Syrian Kurds a chair at their own civil war peace talks table? What a clownish and unsubstantiated claim... Then we all know that half the ""Syrian opposition"" fighters are made of al-Nusra front aka Al Qaeda in Syria, ""people"" who have a blatant sectarian and ""ethnic discrimination"" agenda against every non Sunni people but also against the Sunni Syrian Kurds: ""Various sources have reported that Al-Nusra has issued a fatwa calling for Kurdish women and children in Syria to be killed, and the fighting in Syria has led tens of thousands of refugees to flee to Iraq's Kurdistan region. As of 2015, Turkey is actively supporting the Al-Nusra."" (wikipedia, Kurdistan#Syrian_Civil_War) ""The Independent reported that Saudi Arabia and Turkey ""are focusing their backing for the Syrian rebels on the combined Jaish al-Fatah, or the Army of Conquest, a command structure for jihadist groups in Syria that includes Jabhat al-Nusra."" (wikipedia, Al-Nusra_Front#External_support)",syria,AGAINST,1
"""The international community will not invest power, prestige and funds to chaperone an artificial ""state"" Oh yes they will, just as they approved another $5.8 billion to rebuild Gaza. Let's not pretend the millions of Westerners who sympathize with the Palestinians hold no sway with their governments, and that the Arab world doesn't care about Palestinians because that is patently false, or perhaps wishful thinking. But, if that is really your 'concern' for Palestine, then why doesn't Israel help out by donating the $3  billion per year it receives in US foreign aid? Why wait for others when Israel is a ""modern marvel"" of riches in the desert? Write the first check, I say! Isn't the real problem here that Israel is having a meltdown because the world is becoming increasingly aware of their appalling treatment of Palestinians and thus may interfere with Israel's ultimate plan to annex all of the West Bank and sever Gaza?",foreign aid,NONE,1
"""The international community will not invest power, prestige and funds to chaperone an artificial ""state"" Oh yes they will, just as they approved another $5.8 billion to rebuild Gaza. Let's not pretend the millions of Westerners who sympathize with the Palestinians hold no sway with their governments, and that the Arab world doesn't care about Palestinians because that is patently false, or perhaps wishful thinking. But, if that is really your 'concern' for Palestine, then why doesn't Israel help out by donating the $3  billion per year it receives in US foreign aid? Why wait for others when Israel is a ""modern marvel"" of riches in the desert? Write the first check, I say! Isn't the real problem here that Israel is having a meltdown because the world is becoming increasingly aware of their appalling treatment of Palestinians and thus may interfere with Israel's ultimate plan to annex all of the West Bank and sever Gaza?",rebuild gaza,FAVOR,1
"""The sentiment is right: Home schooling parents shouldn't have to pay for schools they don't use then pay again for education they do."" The sentiment is completely wrong. Everyone should pay for education because everyone benefits from an educated population. I have no children in school today, but when I need a nurse or doctor in 30 years where will they come from if not from children my tax dollars are educating today? The question of how best to achieve high quality schools is another debate entirely. But the need for them is irrefutable.",home schooling,NONE,1
"""This is a rational response to the challenging economic climate."" Herein lies a large part of the problem. We adults need to stop repeating this idea that it's due to the economy. Seriously? My father, who came from less than nothing, with no family to move back in with, built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits. There were no home depots or cell phones to make his life easier. He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family's medical bills with no insurance. All with a 9th grade education. So please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access, public assistance out the wazoo) & start looking within.",economy,NONE,1
"""Vaccines protect our neighbors -- like following traffic laws, drug tests at work, paying taxes -- they are a shared responsibility."" When speaking about shared responsibility it's probably not a good idea to use paying taxes as an example since so many in our society aren't sharing in that responsibility.",vaccination,FAVOR,1
"""Vaccines protect our neighbors -- like following traffic laws, drug tests at work, paying taxes -- they are a shared responsibility."" When speaking about shared responsibility it's probably not a good idea to use paying taxes as an example since so many in our society aren't sharing in that responsibility.",vaccine,NONE,1
"""Why should a family be saddled with the tax costs of paying for public school if they receive no benefit?"" - From Ryan above. A well educated public is what leads our country to economic success, medical advancements, and a more evolved society. So perhaps if you home-school and wish to not pay taxes towards education, you should opt out of any benefit given to you that is created as a by-product of public education.",tax,NONE,1
"""Yes, let's make college admissions (and even private K- 12 school please) based more on socioeconomics than race."" Let's be honest, people who argue this have little or no interest increasing the number of black college students and graduates. They are quite comfortable with reduced enrollment that the University of Michigan has seen since the law banning race and gender based AA was imposed by Michigan voters. Rather, what drives the opposition to affirmative action is the notion that ONLY blacks (and some Hispanics) are getting more than their so-called fair share. What these folks conveniently ignore is that we have affirmative action for white people as well, in the form of legacy preferences. Michigan voters didn't include those in the ban, because of course it favors the children of college graduates who as a group are disproportionately white. My point is there's a great deal of hypocrisy in the 'class not race' argument. Opposition to affirmative action seems not to depend on what we think is the best way to alleviate the under-representation of non-white students at our universities, but on what race or gender you belong to.",affirmative action,AGAINST,1
"""when peach baskets were nailed to the railing of the running track at the Springfield, Mass., Teachers College one day in 1891, they were hung at 10 feet -- because that was how high the railing was."" A strange argument for never changing the height of the basket. If it was arbitrary to begin with, why should it be treated as the holy grail now?",peach basket,AGAINST,1
"'The nuclear deal also opens unprecedented communication channels between Iran and the United States that may prevent future crises, just as we witnessed with the recent prisoner swap and Tehran's speedy release of detained American sailors.' Thank you. I needed a quick laugh. Our sailors were captured prior to sanctions being lifted, and were not returned until the sanctions were almost lifted, and a 1.7 billion dollar jizya, Islamic tax, was paid for our hostages. Again. Thee was no ""speedy diplomacy,"" or really any kind of rapprochement. The Iranian regime, unlike the Arab Spring, has not moved an iota since 1979. Except that in 10 years, they will have a bomb to fit onto their ICBMs. That will certainly be new. But the answer to this ""debate"" is: ""Are your children, grandchildren, sleeping in Tel Aviv tonight?"" if not, the Iranians look less threatening today. If yes, then you see the truth very clearly.",nuclear deal,AGAINST,1
. Do alcohol and marijuana affect some users negatively? Absolutely. Should minors be allowed to legally consume either one? No. But the war on drugs is a failure. All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad. I don't endorse the use of either marijuana or alcohol. But making them illegal protects no one.,war drug,AGAINST,1
">>It is imperative, however, that law schools not overreact to the bar exam decline by limiting access to legal education. Actually, what is imperative is that law schools not continue to admit people that are not prepared to pass the bar examination. The law schools have to reduce the number of law students to match the number of job openings. The only problem we have is that the law schools are a bit in decline and need to adjust the numbers and live with lower budges.",bar exam,FAVOR,1
">>It is imperative, however, that law schools not overreact to the bar exam decline by limiting access to legal education. Actually, what is imperative is that law schools not continue to admit people that are not prepared to pass the bar examination. The law schools have to reduce the number of law students to match the number of job openings. The only problem we have is that the law schools are a bit in decline and need to adjust the numbers and live with lower budges.",law school,NONE,1
"A LOT depends on where one lives. Someone in frozen areas like Alaska,(a head of lettuce is $8) Finland, Siberia could never survive being vegan. Desert people with camels could never be vegan. Someone in an area with no land to grow a vegetable garden or access to a grocery store could never be 100% vegan. Yes, many Americans could be more vegetarian. We are mostly vegan but do eat the eggs our hens lay, and make yogurt from family goats that we have for brush removal, and its simply because we are blessed to live in an area where we can grow a massive vegetable garden almost year round. And what we cannot grow/raise, we can get from farmers markets, Whole Foods etc. But not every American is so fortunate. Reliable reserach done over decades show that SDA (Seventh Day Adventists) are the healthiest Americans and they are vegetarians. They avoid meat. Some will eat cheese, eggs. Just not a lot.",vegan,NONE,1
"A great article. Many vegans may find themselves poised against it, but, beyond proving the scientific information in the article to be wrong, it will be very difficult to come to another conclusion than the author arrives at. Vegetarianism and veganism are mainly moralistic choices of life style, and should be presented as such. But somewhere along the way vegans decided to also try to make the argument that it's the healthier life choice, which is progressively being proven to be wrong. It's fine to decide to be a vegan. The fact that it's not the healthiest alternative only makes the moral choice more courageous. Nonetheless, I agree with the author that such decisions should not be imposed on children.",vegan,AGAINST,1
"A great article. Many vegans may find themselves poised against it, but, beyond proving the scientific information in the article to be wrong, it will be very difficult to come to another conclusion than the author arrives at. Vegetarianism and veganism are mainly moralistic choices of life style, and should be presented as such. But somewhere along the way vegans decided to also try to make the argument that it's the healthier life choice, which is progressively being proven to be wrong. It's fine to decide to be a vegan. The fact that it's not the healthiest alternative only makes the moral choice more courageous. Nonetheless, I agree with the author that such decisions should not be imposed on children.",veganism,NONE,1
"A lower tax rate on unearned income than on income earned from work is an insult to all working Americans. No matter how much blah-blah people from the Cato Institute and other dens of traitors spew, lower taxes or -- Zounds! -- NO taxes on coupon-clipping is a throwback to the days of the nobility expecting us peasant to step into the gutter and touch our caps when their Lordships passed by. Get out of my country, Miron. Go someplace like Monaco. You'll like it better there.",lower tax rate,AGAINST,1
"A small restaurant near us, affiliated with a state university's hospitality program, did away with tipping early this year. It has worked quite well -- I rather enjoy tipping generously for good service -- that sort of work, after all, is a livelihood for many and should be more widely regarded as a profession. But the no-tipping system does remove considerable uncertainty as to whom and how much to tip, which I think is a source of resentment for some people.",tip,NONE,1
"A year's worth of language study to order a tapas? Gotta try harder to sell me on that one. Next time just look for the Golden Arches. That's really what globalization is all about. It has nothing to do with you and me and what language we speak. If anything, I'd learn sign language for that's truly universal. The same sun is everywhere and easily communicated with one wave of the hand.",globalization,NONE,1
"According to this perspective, we should view Peace Corps volunteers as a threat to the developing world, Meals on Wheels as a threat to the culinary arts, and AmeriCorps as a threat to the United States. Teach for America is a response to the deplorable condition in many rural and urban schools, which pre-date the existence of this program by decades. The reactionary response from educators who have failed to improve the educational achievement of underserved students only reinforces the need for something new and innovative. No one pretends that TFA is THE solution to public education, but at least it's focused in a tangible way on the places with the greatest needs.",peace corp,NONE,1
"Activists run for elected office and are elected frequently, and they advocate for their causes just like every politician advocates for something. They usually accomplish their purposes and sometimes what they introduce actually remains after they leave office. As public servants they tend to be focused upon their core constituents and their core issues and tend to trivialize the concerns which do not relate to them. They really feel that the day to day concerns of people who they formally represent but really do not wish to bother worrying about do not matter or can be ignored as they follow their passions. One of the reasons that so many people feel alienated by politicians is the way local politicians are preoccupied with causes and special interests.",activist,AGAINST,1
"Affirmative Action by race was and still is both necessary and Constitutional in America. Equal protection means that public universities - which use public money - must take into account how bias has played a role in preparing students for college. Blacks and Hispanics are not stupid, rather, they are disadvantaged in school and life, beyond school. Yes, this means that a better student won't get into college, but that's okay because democracy includes sacrifice. Every soldier ever drafted lost their most sacred rights because we sent them off to war. So, stop whining about being white and not getting into college because of Affirmative Action.",affirmative action,FAVOR,1
"Agree with poster who said that language study should be mandatory well before college! If a college student is already proficient in two or more languages, then by all means let them study poetry or science or whatever else grabs them. But no US college graduate today should be monolingual since understanding the people(s) of the world is of the utmost value for reasons both practical/geostragtegic and intrinsic. US DOD used to subsidize foreign language study much more than it does today--a pity, and a danger.",college,NONE,1
"All of my children have been, or are being home schooled through high school. The oldest will be graduating from college this year, the recepient of a few scholarships. Home schooling is not easy, and it is not for everyone. This being said, I have to agree with those who have posted that all of us benefit from the public school system, and must fund it via our taxes. We should demand more of our schools so that our communities' children will get the education that they should to be productive members of society.",home schooling,NONE,1
"Allowing foreign airlines to serve domestic routes is definitely something that doesn't get brought up enough. It's funny how the domestic carriers are all for deregulation and increased competition in theory, but once outside foreign airlines are involved, they rely on what you rightfully point out is antiquated regulation. Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies. The airline industry is a monopolistic entity and should be treated as such. This means to be required to cooperate with certain regulations.",airline,AGAINST,1
"Amid Cohen wrote, ""Jerusalem is our capital. It has been for 3,000 years."" This alone shows that his position is based on fantasy. If Jerusalem had been the capital of Israel for 3,000 years, then the Zionist dream of a new Israel in 1948 would have been mad, for such a state would have been in place for all of those 3,000 years. Until Israel acknowledges that its being is based on a colonialist venture in that the current borders of Israel did not surround an empty space but had been occupied as a non-Israeli entity for centuries, advocates like Mr. Cohen will be living in a fantasy world. Saying something does not make it so. America has bought into Mr. Cohen's fantasies for far too long,",jerusalem,AGAINST,1
"And who was the cause Islamic radicalism, israel? People tend to go supernatural when faced with hopelessness, despair and oppression. And who had created those conditions in and around the Arab world and for whose benefit? I leave that to Israeli leaders to think in their little twisted ideological bunker",israel,NONE,1
"Another issue is the over-prescribing and under-monitoring of opioid drugs. These have been shown to be 'the gateway' for many people to serious addiction. If marijuana were a 'gateway', then tens of millions more Americans would be suffering much more severe consequences.",opioids,NONE,1
Any intervention is a slippery slope to full involvement which is why we should stay as far away from Syria as possible no matter what they do. Lookt at Libya -- we started out with R2P just to save those Jihadist in Benghazi from Qaddafi. Well it quickly morpher into regime change in violation of the UN SC resolution. So we acted outside the law. We didn't care we are the US - we are not bound by any LAW not even one passed in Congress. And regime change in Libya led to the muder of a US Ambassador -- does anyone think that what is about to happen will end any differently. The President will lie to us as we were lied to about NSA and lied to about US intentions in Libya. In another month we will be bleeding and dying in Syria to remove Assad and install Al Nusra in power -- the so called FSA will either defect to Al Nusra or be buthchered by them. This is a disaster in the making for the US.,syria,AGAINST,1
Anyone who says or even thinks that air travel today is superior in any meaningful way to air travel before regulation has no direct knowledge of regulated air travel. - I do. Air travel today is equivalent to bus travel in the sixties. I remember that as well. There is no such thing as a free market in any industry -- least of all the airline industry.,air travel,AGAINST,1
"Anything that can be biologically grown and then consumed in America - should stay in America, while resisting imports on farm products that form core products in the American food market; to protect against disease, preserve FDA standards, and preserve our food market from being export dependent but if the experts are correct that the Government is not properly distributing Farm subsidies - where certain crops, in comparison to the whole American Farming system, are given more money than what is needed to support them - then the Farm Subsidy program needs to be shut down and rebuilt to reflect the actual areas that do need support. As much preserving the American domestic food market, it has to be balanced properly in response to the Federal deficit, in order to properly protect and fund America's farms.",farm subsidy,FAVOR,1
"Arab League has forbidden Abbas to recognize the Jewish state. Arabs showed clearly that their goal is not a peace, but a destruction of Israel. About what can Israel speak with Arabo-fascists? About a destruction of Israel? Pandering to the Arab aggressors and sacrificing the tiny Israel contradicts the moral values of the West.",jewish state,FAVOR,1
"Arguments such as these frustrate me. When Dr. Evins comes up with a solution to the downsides of keeping marijuana illegal (which any 16-year old in the country can find now without any difficulty whatsoever), not limited to the money flowing to drug cartels, the violence associated with illegal distribution, the racial and ethnic differences in lives lost, ruined and diminished due to disparities in criminal justice processing, (should I go on?), I'll take state control and distribution any day of the week. If she wants to whine about the marketing to children, tell her to go whine to all those free-market Republicans who believe that the markets can do no harm. Maybe they should be required to take the Hippocratic Oath.",pot,FAVOR,1
"As a student of history I have learned that it is not wise to apply the understandings, mores and concerns of one's own time and place to past generations. George Washington owned slaves and no one in his day thought him any the worse for it. Indeed, I dare say he would be hard pressed to understand, let alone consider, the arguments of anyone in today's world favoring reparations for what was a legal and acceptable practice in his day and age. People of every time and place should be seen in the terms of their own time and place - not ours. If history teaches us anythiing it might for us to examine the failures of the past and at least attempt not to repeat them in our present.",history,NONE,1
"As long as any significant portion of the Palestinian people continue to declare war on Israel's existence, there will never be a Palestinian state. First, and foremost, because that same significant percentage of Palestinians would not accept a sovereign state without first seeing the end of Israel. And Britain should be ashamed of accepting a circumvention of civil liberty by accepting any form of sharia law into the British legal system. What moral cowards do is of no consequence to the well being of western freedoms.",palestinian state,AGAINST,1
"As others have stated, I want my taxes lowered because I don't have children and don't use the public school system (among other public services) because of it. In fact I believe I should get a tax break on my income for NOT costing the government extra by having children. Why do parents who choose to have children believe they deserve to pay LESS than I do in taxes just because they choose to breed. It is not as if they didn't know that children cost money to have and raise! Yet because they get a tax break for having them and I don't I am forced to help pay for them! If you want kids and choose to have them then YOU pay for them and don't expect to get your taxes reduced because of it!",tax,AGAINST,1
"As parents we moved to districts that had excellent public schools. Additionally we spent hours teaching our children to broaden their intellect, encourage their curiousity, and ensure their mastery of subjects. Just as our parents had done with us. We don't expect a tax credit for taking responsibility to educate our children. If citizens want to home school their children, then it is their choice. Rewarding this decision with financial incentives is not rational when there is a public option. If parents don't like the public education they have two choices, move to a better district or work hard to improve their local schools.",public education,AGAINST,1
"As parents we moved to districts that had excellent public schools. Additionally we spent hours teaching our children to broaden their intellect, encourage their curiousity, and ensure their mastery of subjects. Just as our parents had done with us. We don't expect a tax credit for taking responsibility to educate our children. If citizens want to home school their children, then it is their choice. Rewarding this decision with financial incentives is not rational when there is a public option. If parents don't like the public education they have two choices, move to a better district or work hard to improve their local schools.",public school,FAVOR,1
"As someone who attended an elementary school which received TFA teachers and as an 'elite' college graduate who saw classmates fight for spots, I have mostly contempt for Teach For America. However, I see that one thing that high flying elementary education systems around the world have in common is that teaching is a prestigious career that the top college students fight for. Look at South Korea. If TFA starts America along that path, then I suppose it can be endured.",teach america,NONE,1
"As soon as I get my tax break for never having had a child in any school - public, private, home or otherwise. To be clear, this proposal is nasty and mean spirited - are we so self-centered now that we do we do not want to contribute to anthing of collective benefit to society?",tax,AGAINST,1
"As soon as I get my tax break for never having had a child in any school - public, private, home or otherwise. To be clear, this proposal is nasty and mean spirited - are we so self-centered now that we do we do not want to contribute to anthing of collective benefit to society?",tax break,AGAINST,1
"As soon as there is a critical level of EV adoption third parties will spring up to supply a (new!) market for portable EV chargers. I am surprised that Nissan doesn't offer this as an option -- but what the heck, the market will provide. Look at what happened with iPod/iPhone accessories.",electric car,NONE,1
"As the 61 year old parent of two late 20 year olds I think all the helicopter parents here who think they can monitor their kids to the nth degree and not destroy the relationship are out of their minds. In particular ""I have the gold I make the rules"" is the relationship of master and servant. If you want your kids to quit school and be waitresses or bartenders to get you off their back keep repeating ""i own you until you pay your own bills"". If you want a lawyer, a Doctor an MBA or a Phd in the family you have to learn to respect their autonomy while still providing support. Respect for autonomy starts early and grows as the child grows. The years between 13 and 18 are critical. The child has to learn self control and you have to learn to let go and respect your childs autonomy. Otherwise there is an explosion when they hit 18",extreme parenting,AGAINST,1
"As the 61 year old parent of two late 20 year olds I think all the helicopter parents here who think they can monitor their kids to the nth degree and not destroy the relationship are out of their minds. In particular ""I have the gold I make the rules"" is the relationship of master and servant. If you want your kids to quit school and be waitresses or bartenders to get you off their back keep repeating ""i own you until you pay your own bills"". If you want a lawyer, a Doctor an MBA or a Phd in the family you have to learn to respect their autonomy while still providing support. Respect for autonomy starts early and grows as the child grows. The years between 13 and 18 are critical. The child has to learn self control and you have to learn to let go and respect your childs autonomy. Otherwise there is an explosion when they hit 18",helicopter parenting,AGAINST,1
"As the son of a farmer, I reluctantly agree with the author's conclusion. Farm subsidies grossly reward a small-percentage of large-scale corporate farms and businesses, which now operate on scales in vast disproportion to the revered Jeffersonian single-farmer business. Farm subsidies indirectly support major pharmaceutical companies through chemicals, oil industries (fertilizer), and diesel production/ports; a very nationalist enterprise in an era of which America is the self-proclaimed champion of global free markets and force tariff removals. There are only two kinds of farmers: those selling their land and millionaires...there is little in-between in this industry...which also can no longer survive in a free market...commcercial farming has, in the words of a famous person, become 'too big too be allowed to fail.'",farm subsidy,AGAINST,1
"Assad, Iran, Sadr's Army,etc.etc., We are in a quagmire of our own making- the region has been severely destabilized since our invasion of Iraq. Why did we not then leave well enough alone as no real threat was posed to our security...Isis does not yet pose a threats to any American except those rash enough to be involvers in fighting in Iraq and Syria. Why not not follow the morally correct policy of non-intervention....here in may come to the often discussed but rarely published adage ""Let them kill each other off"" which poses no dangers for us. In the long run, the strongest party (ies) will probably prevail regardless of what America does, so what is the gain in posturing that our national security is at issue and we need to intervene...especially when we can't even figure out whose side we should be intervening on!",invasion iraq,AGAINST,1
"At what point does the concept of free speech become a hate crime? The Nazi regime started out burning books written by Jews and then we know where that led. Taken to an extreme, burning of books is just the opposite of free speech. It empowers ignorance by destroying the written word. Sadly, this is an example of someone committing a dumb, but not illegal, act. Is it really freedom of speech or an example of intense hatred? Should that person be fired for his actions, off duty? Probably not in our society. Is this an example of American society, at its best? Definitely, NOT.",free speech,NONE,1
"Awesome article! Children need animal products in their diet to thrive. Refer to Chris Kresser's "" The healthy baby Code"" for all the latest SCIENCE on the subject. This should be required reading for ALL prospective parents! Soy is NOT good for babies .. this is gone into extensively on ""The Weston A Price Foundation"" site. Keep up the good work Nina!",veganism,AGAINST,1
"Based on the fact that many people without children, children out of school, or renters for that matter, still end up paying property taxes to fund schools in their areas, the tax breaks seem unfair. The fact is that that EVERYONE has a vested interest in the education of the kids in their communities,therefore everyone should pay. Let anyone school their kids however they want, but don't jeopardize the education of the public as a whole, to grant favoritism to a few who school their children in one certain way.",tax break,AGAINST,1
"Better yet, stop calling them refugees and start calling them for what most of them are: illegal migrants. A spade is a spade is a spade and not a hammer. And start treat them for what they are and apply existing laws. Labelling them refugees is one of the pillars for the hatred between Europeans, who usually take in those who really need help with no questions asked, and those who are on a migration trip into social security systems that have been paid for by those stupid infidels. A sort of Dhimmi tax.",refugee,AGAINST,1
"Billionaires think they can get away with anything in stealing public rights, and their lawyers construct arguments in defense of that theft so laughable they would be failed in any law school class they dared present them in. These people have lost touch with the reality of the rest of us in a way comparable to that of any aristocracy in human history. And just like people stood up to the aristocracy in the great European revolutions of the 17th and 18th century, so we have to stand up to the new aristocracy in the 21st. We have to start somewhere - why not with ignoring these fat cat attempts to block our beach access with armed guards.",aristocracy,AGAINST,1
"Both of my elementary age children are bored to tears at school everyday, from 8:30-3:00. In an effort to make everybody a winner, our schools have dumbed down the standards so much that our curriculum is now 2 grade levels below 20 years ago. Students have always had varying abilities, you cannot change nature. As it is school is just a place for my kids to socialize, as they learn practically next to nothing during Reading, Math, Social Studies. I wish school hours could be shortened to include only Recess, Library, Music, PE and Art so that I could have more time to teach my kids the real important stuff at home.",school,AGAINST,1
"Bove ignores a major factor in largeness, the direction of capital away from productive investment and into speculation. The justification of profitability as a sole measure is a basic one for consolidating banks, but with that consolidation comes direction of capital away from production and into speculative instruments. Irresponsibility came from engineering returns rather than earning them. Failure came from a quantitative analysis of investment options that valued high investment risk over productive risk.In a smaller institution this would have simply constituted fraud. In these behemoths it constitutes lingering catastrophe. We still have not freed capital from these casino operators. We who supply them with deposits and tax buffers are denied a flow of funds in interest or investment than support or employ. Flush them into a banking system that buys us jobs, not chips.",capital,AGAINST,1
Brian Epstein and Linda Rondstadt are getting inductedin 2014. Who's in charge Rip VanWinckle ? Miss Rondstadt could have been inducted in the in the 70's. She was on the cover of Time magazine in 1977 and has been a Superstar ever since. Brian Epstein ?? Oh yeah I think he managed a rock Band.,brian epstein,NONE,1
Change will not come to the essential text of the Muslim world or culture. Capital punishment for seemingly minor crimes. Disrespect and abuse of women. Harsh punishments and imprisoning of dissenters. Even much more than these few examples. The only thing that can do the job of civilizing those with these kinds of beliefs is a modrate regime change. This will only come through a similar type of revolution that put the current Iranian regime in power.,muslim world,NONE,1
